timestamp_v3,parrafo,texto_narration_txt,fuente_v3,diagnostico,estado_audio_original,reparacion_propuesta,necesita_elevenlabs,caracteres,creditos_estimados,previous_text,next_text
"02:03","p20","Esa lucha silenciosa por controlar con la mente lo que todavía no podemos tocar con nuestras manos.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.73s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"10:33","p123","Padre, mira a la persona que está escuchando esta oración.","original sin cambios","ERROR_INTERNO_TTS","texto del guion es correcto; la voz inserto/deformo la palabra 'a' sonando como 'mi'","regeneracion completa del parrafo","si","58","15.4","La paz necesaria para dormir y la claridad necesaria para actuar cuando llegue el momento.","Tal vez lleva mucho tiempo siendo fuerte para los demás."
"10:58","p130","Puede descansar sin abandonar a nadie, porque durante estas horas tú continúas cuidando aquello que ella no puede vigilar.","original sin cambios","ERROR_INTERNO_TTS","texto correcto; la voz inserto 'de' inexistente al inicio","regeneracion completa del parrafo","si","122","32.4","Puede admitir que tiene miedo.","Mientras duerme, el mundo no queda sin Dios."
"11:13","p131","Mientras duerme, el mundo no queda sin Dios.","original sin cambios","ERROR_INTERNO_TTS","texto correcto; pronunciacion ininteligible tipo 'duermemol'","regeneracion completa del parrafo","si","44","11.7","Puede descansar sin abandonar a nadie, porque durante estas horas tú continúas cuidando aquello que ella no puede vigilar.","Mientras cierra los ojos, tu poder no disminuye."
"14:34","p168","Estabas presente antes de este diagnóstico, antes de esta deuda, antes de esta conversación y antes de esta incertidumbre.","original sin cambios","ERROR_INTERNO_TTS","texto correcto; silaba adicional tipo 'mo' antes de 'esta conversación'","regeneracion completa del parrafo","si","122","32.4","Nos amabas antes de esta entrevista.","Y seguirás siendo nuestro Dios después de que pase este momento."
"14:44","p169","Y seguirás siendo nuestro Dios después de que pase este momento.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 1.13s, la mas larga de este pase)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"16:41","p184","Cuando diga: si no conoces el resultado, no puedes descansar, recuérdanos que la paz bíblica no depende de conocer cada detalle.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.73s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"17:09","p190","La fe llora cuando es necesario, pero no pierde la esperanza.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.98s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"24:25","p274","No permitas que la desesperación nos empuje a decisiones que después dañen nuestra conciencia, nuestra familia o nuestro testimonio.","original sin cambios","RESIDUO_ORIGINAL","original ya tenia el residuo (cola 0.77s)","recorte por ancla de alineacion + microfade 40ms","no","","","",""
"28:05","p312","Pero durante esta noche, recuérdanos que nuestros hijos también están bajo tu mirada.","original sin cambios","ERROR_INTERNO_TTS","texto correcto; vocalizacion ininteligible insertada dentro de la misma frase, tras la coma","regeneracion completa del parrafo","si","85","22.6","Muéstranos mañana si existe algo que debemos preguntar, escuchar, corregir o hacer.","Entregamos a nuestros padres y a los miembros de la familia que necesitan cuidado."
